"rbr","name","date","stars","review","lang","thumb","reply"
15,"Milan Neic",2020-05-28,2," Why is the offline directions function NOT working without internet if I already have a downloaded map(s) and the app is in offline mode? What is the problem?","en",2,NA
16,"Boris Karukin",2020-05-17,4," Great performance, offline maps and search. Crashes happen sometimes, but its really fast to restart. I wish, it would show saved locations on the map. Still 5/5","en",13,NA
17,"Jayson Diaz",2020-05-19,3," It's nice that blocks are numbered even without having to drop pins; that, is nice to have. Blocks are labeled which is nice to have to but that is only correct for large blocks. I tried searching for address but it's pointing too far from our location. It's a deal breaker for me. Who knows where el...Full ReviewIt's nice that blocks are numbered even without having to drop pins; that, is nice to have. Blocks are labeled which is nice to have to but that is only correct for large blocks. I tried searching for address but it's pointing too far from our location. It's a deal breaker for me. Who knows where else have inaccurate location.","en",5,NA
18,"Sheena Lenterna",2020-05-21,3," It's good that it's free, and no mobile data needed. but not up to date. Also some places that found on google.maps cant be found here.","en",4,NA
19,"Peter Vervoorn",2020-04-24,4," I really liked this app, but since some time the GPS signal is lost and doesn't come back until I restart the app (or sometimes the device). This seems to occur more often now, rendering it virtually useless in the car. Google Maps however, running in the background, doesn't loose the GPS signal. Ed...Full ReviewI really liked this app, but since some time the GPS signal is lost and doesn't come back until I restart the app (or sometimes the device). This seems to occur more often now, rendering it virtually useless in the car. Google Maps however, running in the background, doesn't loose the GPS signal. Edit: newer versions seem to work correct, no more issues... Rating upgraded.","en",127,NA
20,"Bjoern Berg",2020-06-06,1," Won't even start without location permission. Unusable. I do not need navigation, just offline maps. Therefore I do not need location services. Rubbish","en",0,NA
21,"Jason Gasaway",2020-03-23,3," It works but has some issues. The car symbol jerks instead of smoothly moves along in the image. When you are trying to start off you cant tell if you are going the right way or if you should go right or left because it puts you on the road as if the car is already traveling down the road. If a turn...Full ReviewIt works but has some issues. The car symbol jerks instead of smoothly moves along in the image. When you are trying to start off you cant tell if you are going the right way or if you should go right or left because it puts you on the road as if the car is already traveling down the road. If a turn is missed instead of giving a quick turnaround you are guided to make large loops.","en",51,NA
22,"Owen Chiaventone",2020-05-22,5," Works much smoother than Google maps on low end phones. It's just a navigation app, and it does it very well.","en",6,NA
23,"SAM XU",2020-05-09,2," a lot to improve. In reality, when I use it on the road, I normally turn screen off , just listen to the voicr guide. but when I want to take a look, I turn on screen without unclocking the phone, it should show map like google map. but this one doesn't. plus, after a few minutes of screen off time,...Full Reviewa lot to improve. In reality, when I use it on the road, I normally turn screen off , just listen to the voicr guide. but when I want to take a look, I turn on screen without unclocking the phone, it should show map like google map. but this one doesn't. plus, after a few minutes of screen off time, the GPS will out of wack and give me crazy instructions because of that until I use fingerprint to unclock the phone, that is not safe. uninstalled.","en",38,NA
24,"Drew S.",2020-04-20,2," A decent app. Have used since the days of Windows Phone. Appears to be stuck in those days, however. Navigation is still not always the most efficient even when set to use 'shortest distance'. Often uses longer routes when shorter ones exist. ü§î Map graphics are not very good. Also it lacks in detai...Full ReviewA decent app. Have used since the days of Windows Phone. Appears to be stuck in those days, however. Navigation is still not always the most efficient even when set to use 'shortest distance'. Often uses longer routes when shorter ones exist. ü§î Map graphics are not very good. Also it lacks in detail. Painfully obvious when compared to Waze or Google Maps. Almost nonexistent detail of most side streets along your route. Provides bare minimum traffic info. Use occasionally for nostal","en",84,NA
25,"Avron Meyer",2020-05-17,5," Greatest navigation app ever. I want to save/pin my destination offline too, for future reference. Need a local cape town voice to make the app fun.","en",11,NA
26,"Kyle Trebotich",2020-04-10,4," I wanted to like this app more. Great app. Clean and good navigation. But the search could use some work. Not as many pois as with Google maps. Another no go for me is that it doesn't work with Android Auto. Not to the fault of the develops though. Google doesn't allow anything but their own navigat...Full ReviewI wanted to like this app more. Great app. Clean and good navigation. But the search could use some work. Not as many pois as with Google maps. Another no go for me is that it doesn't work with Android Auto. Not to the fault of the develops though. Google doesn't allow anything but their own navigation apps on Android Auto. Which is obviously lame.","en",34,NA
27,"Leandro Francischetti",2020-04-15,2," Tha App is great, is accurate, and is definitely the best GPS navigation system available. The app DID the job extremely well. ""DID"", because since the last OS update (Android 10) the app just keeps waiting for GPS SIGNAL, and never starts the navigation (but I have another phone still with the OS A...Full ReviewTha App is great, is accurate, and is definitely the best GPS navigation system available. The app DID the job extremely well. ""DID"", because since the last OS update (Android 10) the app just keeps waiting for GPS SIGNAL, and never starts the navigation (but I have another phone still with the OS Android 9 and the app works just fine in it in the same places at the same time...). (I'm using a Samsung Galaxy A70, if that helps)","en",34,NA
28,"Vlado Holicek",2020-03-27,5," This software has gone from top of my list to the bottom. It does not work on Xiaomi mi 9T Pro (Android 10/MIUI 11) It only shows ""Waiting for GPS"" intermittently, and does not start. At the same time, on the same place, on the same phone, 5 other navigation apps work flawlessly. Really a shame beca...Full ReviewThis software has gone from top of my list to the bottom. It does not work on Xiaomi mi 9T Pro (Android 10/MIUI 11) It only shows ""Waiting for GPS"" intermittently, and does not start. At the same time, on the same place, on the same phone, 5 other navigation apps work flawlessly. Really a shame because I used it for 10 years, on various devices, and now it does not work on my new phone.. EDIT: Initially I gave 1 star because the app ""Guidance"" did not work on my phone, but with the help from support I did manage to get ""Guidance"" to work. It works perfectly as long as NO other app on my phone uses GPS receiver. If Here is the only app using GPS it works perfectly.","en",81,NA
29,"ross paton",2020-05-22,3," I'd give it more if it had Australian language option and walking directions. The Windows version did!","en",4,NA
30,"Tomas Bartok",2020-04-11,4," I've been using this app since old Nokia times on Symbian but now on Android and was always satisfied with it's simplicity and intuitiveness yet precision. I'm giving the 4 stars because of the lack of waypoints when planning route (can't add any stops/waypoints before reaching destination)! Would i...Full ReviewI've been using this app since old Nokia times on Symbian but now on Android and was always satisfied with it's simplicity and intuitiveness yet precision. I'm giving the 4 stars because of the lack of waypoints when planning route (can't add any stops/waypoints before reaching destination)! Would it be possible to work on this in a future update please?","en",23,NA
31,"Erkan Ersoy",2020-05-04,4," I having been using Here maps for years and am extremely happy with the service provided however, it is staring to look a bit outdated and would like to see it modernised with full screen option and the banners, at the top and bottom incorporated onto the screen allowing the map to look larger. I us...Full ReviewI having been using Here maps for years and am extremely happy with the service provided however, it is staring to look a bit outdated and would like to see it modernised with full screen option and the banners, at the top and bottom incorporated onto the screen allowing the map to look larger. I use the system with my infotainment system and the banners reduce the map size rather a lot","en",16,NA
32,"Gary W",2020-03-18,5," I use Here Wego most of the time. Everything works well offline with the downloaded maps. If I miss a turn the app recalculated the route quickly. I especially like the speed limits warnings if I go above the speed limit, this is about 98% accurate I consider this to be good. I don't like to speed o...Full ReviewI use Here Wego most of the time. Everything works well offline with the downloaded maps. If I miss a turn the app recalculated the route quickly. I especially like the speed limits warnings if I go above the speed limit, this is about 98% accurate I consider this to be good. I don't like to speed or pay speeding fines ","en",293,NA
33,"Alex Astrom",2020-04-22,4," It seems okay. However, when I went to download maps for offline use, I discovered that at least 2 countries, were cited in the wrong place. There may be others. For example Turkey and Armenia are cited as being European countries which is wrong. They belong to Asia Minor, itself a part of Asia. Som...Full ReviewIt seems okay. However, when I went to download maps for offline use, I discovered that at least 2 countries, were cited in the wrong place. There may be others. For example Turkey and Armenia are cited as being European countries which is wrong. They belong to Asia Minor, itself a part of Asia. Something that has to do with navigation should be aware of such.","en",37,NA
34,"Eddie Mckenzie",2020-05-29,1," Now says can't establish any drive routes to any destinations right when I'm in the car ready to go somewhere. Well, HERE WeGo, this will be the last. Uninstalling app immediately!","en",1,NA
35,"Will Toth",2020-04-28,2," This app was awesome but now it went completely insane, I input an address around the corner and it won't find it because there's too much water to the destination, I kid you not. Gave it two stars because it still works in offline mode so it may be useful in areas with no phone signal.","en",18,NA
36,"Dave Black",2020-05-04,5," Only use this app every now and again, but when I do, it loads quickly, shows the quickest routes, and shows landmarks. It has the facility to update regularly (use WiFi when updating), so you will always have an accurate map.","en",5,NA
37,"Prashant Upadhyay",2020-04-19,1," It was extremely good and accurate but unfortunately after Android 10 update its not working anymore on my mobile( i use Oneplus 6). After OS update, the app keeps waiting for GPS signal and never leaves the starting point during navigation. My other mobile with Android 10 is not facing any issue.","en",2,NA
38,"Stanley Tse",2020-04-26,5," So far so good. I'm here because Google Maps had been intermittently unreliable for months. This app is certainly not perfect but it's been accurate and responsive. Going to have to tested it out for a few months to see, but quite happy so far.","en",9,NA
39,"Xenium Sahaj",2020-05-22,1," Not showing correct record. Request to review the location of Mount Everest.","en",0,NA
40,"Aroha Wilson",2020-05-25,5," Great app for watching your movements when Hop'n' around Auckland's surroundings.","en",0,NA
41,"Phillip Olmesdahl",2020-05-26,5," Very good it gives distances routes and what to see along the way I do recomend this app","en",0,NA
42,"Paul Cobden",2020-06-02,5," Finds addresses in new estates where Google maps didn't. I wish I could theme it though.","en",0,NA
43,"Chris CD",2020-03-28,4," Great, absolutely great app and so much better than g maps. 4 Stars because of this. I set a destination driving. I can't set the same destination going on foot. After this bug it's a 5 star app. Even with this bug, I thank the devs.","en",10,NA
44,"ahmed omer",2020-05-22,5," Good application, however the app icon is not compatible with most launchers and is not adaptive","en",4,NA
45,"Klaatu58",2020-04-20,5," My go-to GPS because it functions when others don't. Wish you'd add a save location feature that one could use to find parked vehicles. Mirroring to vehicle's dash screen via Bluetooth would be great.","en",6,NA
46,"Mike Fisher",2020-05-01,1," Recent update made my phone go haywire. Apo refused to recognise it had GPS access until I closed and reloaded, then when I tried to close the app the screen would misbehave and I had to reboot the phone to regain control. Something has gone wrong.","en",7,NA
47,"Haider Karrar",2020-06-05,5," Add the map of Pakistan to download maps ... Also lots of improvement require related to Pakistan..","en",0,NA
48,"David Elkington",2020-03-19,1," I really liked this previously,but it no longer works for navigation. Cant seem to access GPS but still tries to give directions even though it doesn't know where it is. Google maps navigates normally but Here we go doesn't work","en",10,NA
49,"Louis Poon",2020-04-04,5," Easy to use and simple layout, but I have a question about how to connect it with my Samsung Galaxy Watch. I downloaded Here WeGo in the Watch previously and I don't how to connect it with the watch. I want to select destination in my phone and send it to my watch . Thank you.","en",15,NA
