"month_cut","stars","year","month","app"
2018-09-01,4.43110500610501,2018,9,"6"
2018-10-01,4.54575968119546,2018,10,"6"
2018-11-01,4.51464129603244,2018,11,"6"
2018-12-01,4.47981943966353,2018,12,"6"
2019-01-01,4.42865909182715,2019,1,"6"
2019-02-01,4.56033979669112,2019,2,"6"
2019-03-01,4.45036051196466,2019,3,"6"
2019-04-01,4.42608437036388,2019,4,"6"
2019-05-01,4.49654412170239,2019,5,"6"
2019-06-01,4.54269920519219,2019,6,"6"
2019-07-01,4.07740284563448,2019,7,"6"
2019-08-01,4.37188705631075,2019,8,"6"
2019-09-01,4.33818206931966,2019,9,"6"
2019-10-01,4.49317476910431,2019,10,"6"
2019-11-01,4.44863258616269,2019,11,"6"
2019-12-01,4.22823136593113,2019,12,"6"
2020-01-01,4.39730374883396,2020,1,"6"
2020-02-01,4.17934549673901,2020,2,"6"
2020-03-01,4.41785276092739,2020,3,"6"
2020-04-01,4.45116606219867,2020,4,"6"
2020-05-01,4.4260913343456,2020,5,"6"
2020-06-01,4.40565599977365,2020,6,"6"
2018-09-01,3.58231568459013,2018,9,"7"
2018-10-01,3.57839897773574,2018,10,"7"
2018-11-01,3.51586906179476,2018,11,"7"
2018-12-01,3.42890210028645,2018,12,"7"
2019-01-01,3.1373107081077,2019,1,"7"
2019-02-01,3.42199940754151,2019,2,"7"
2019-03-01,3.32140659158263,2019,3,"7"
2019-04-01,3.50320467473799,2019,4,"7"
2019-05-01,3.44485231753594,2019,5,"7"
2019-06-01,3.27924798632413,2019,6,"7"
2019-07-01,3.24589974360214,2019,7,"7"
2019-08-01,3.43946138004443,2019,8,"7"
2019-09-01,3.35578906272894,2019,9,"7"
2019-10-01,3.28341846409919,2019,10,"7"
2019-11-01,3.00764350608208,2019,11,"7"
2019-12-01,3.21687142178207,2019,12,"7"
2020-01-01,3.64800162609243,2020,1,"7"
2020-02-01,3.48601922706101,2020,2,"7"
2020-03-01,3.73392553019547,2020,3,"7"
2020-04-01,3.83090387335353,2020,4,"7"
2020-05-01,3.5416636456263,2020,5,"7"
2020-06-01,3.42155811854704,2020,6,"7"
2016-06-01,4.01231810807156,2016,6,"8"
2016-07-01,4.12241560682646,2016,7,"8"
2016-08-01,3.94048701027911,2016,8,"8"
2016-09-01,3.95214876196837,2016,9,"8"
2016-10-01,4.11819981279719,2016,10,"8"
2016-11-01,3.98347429368835,2016,11,"8"
2016-12-01,4.19506547711829,2016,12,"8"
2017-01-01,4.26307608846411,2017,1,"8"
2017-02-01,4.28245160728691,2017,2,"8"
2017-03-01,4.39007527038806,2017,3,"8"
2017-04-01,4.44571643701599,2017,4,"8"
2017-05-01,4.47488624914467,2017,5,"8"
2017-06-01,4.25143427423577,2017,6,"8"
2017-07-01,4.06186249278979,2017,7,"8"
2017-08-01,4.11615984287533,2017,8,"8"
2017-09-01,4.18605341156428,2017,9,"8"
2017-10-01,4.03645443477037,2017,10,"8"
2017-11-01,4.05586568802042,2017,11,"8"
2017-12-01,3.99225684709556,2017,12,"8"
2018-01-01,4.1635781333362,2018,1,"8"
2018-02-01,3.91011392319165,2018,2,"8"
2018-03-01,3.99066050437018,2018,3,"8"
2018-04-01,3.79000286750287,2018,4,"8"
2018-05-01,4.08339308540921,2018,5,"8"
2018-06-01,3.85833605664488,2018,6,"8"
2018-07-01,3.98077307996663,2018,7,"8"
2018-08-01,4.14888860349012,2018,8,"8"
2018-09-01,3.89094525844526,2018,9,"8"
2018-10-01,3.96952509855736,2018,10,"8"
2018-11-01,4.14425925925926,2018,11,"8"
2018-12-01,3.83295163617744,2018,12,"8"
2019-01-01,3.60616408680925,2019,1,"8"
2019-02-01,3.99713054802341,2019,2,"8"
2019-03-01,3.96506405780599,2019,3,"8"
2019-04-01,3.64342652717653,2019,4,"8"
2019-05-01,3.75043325849777,2019,5,"8"
2019-06-01,3.95750693750694,2019,6,"8"
2019-07-01,3.74487967229903,2019,7,"8"
2019-08-01,3.86828664167374,2019,8,"8"
2019-09-01,3.827794089968,2019,9,"8"
2019-10-01,3.77630003614349,2019,10,"8"
2019-11-01,3.76660755910756,2019,11,"8"
2019-12-01,3.85553183375764,2019,12,"8"
2020-01-01,3.54388120839734,2020,1,"8"
2020-02-01,3.68464696223317,2020,2,"8"
2020-03-01,3.47393939393939,2020,3,"8"
2020-04-01,3.79803927553928,2020,4,"8"
2020-05-01,3.95945398687334,2020,5,"8"
2020-06-01,3.77539682539683,2020,6,"8"
