"week_cut","pred","year","week","low","high","app"
2020-11-16,27.8152181950954,2020,46,0.353169120791366,56.6045976000374,"2"
2020-11-23,28.6116562107867,2020,47,1.92799751784316,61.1469111538009,"2"
2020-11-30,25.4428934327932,2020,48,0,54.5751245264366,"2"
2020-12-07,27.2576438812519,2020,49,0.378677029099189,61.3259047854166,"2"
2020-12-14,24.811921696474,2020,50,0,55.9166466717312,"2"
2020-12-21,24.1932447187885,2020,51,1.6772937200217,58.4552091503471,"2"
2020-12-28,24.5233787647699,2020,52,1.74709336677154,62.4375644589664,"2"
2021-01-04,27.1777949493356,2021,1,4.53672857924664,55.0527370035923,"2"
2021-01-11,26.4170651090745,2021,2,0,61.5555542770142,"2"
2021-01-18,22.0435298812033,2021,3,0.374802973651472,51.6863790986643,"2"
2021-01-25,19.1111917644477,2021,4,0.132606810023543,50.6277145470845,"2"
2021-02-01,23.8752346213973,2021,5,1.98132310847764,59.3511634045599,"2"
2021-02-08,23.7321977807618,2021,6,0,59.3568398869015,"2"
2021-02-15,21.7155766080788,2021,7,0.852898033998841,46.5409477647905,"2"
2021-02-22,23.695146162122,2021,8,1.56311116303259,51.6231327675941,"2"
2021-03-01,24.1688431004797,2021,9,1.7134686854572,54.2752594057057,"2"
2021-03-08,25.2651521541644,2021,10,1.00008304222083,56.3589774396617,"2"
2021-03-15,26.655781275916,2021,11,0,59.3064922985944,"2"
2021-03-22,26.3918891913516,2021,12,0,63.8182990155456,"2"
2021-03-29,21.2235786908972,2021,13,0,55.5630482730448,"2"
2021-04-05,26.7966599559277,2021,14,0,65.3607330597021,"2"
2021-04-12,20.3978937829957,2021,15,0,57.3457656284347,"2"
2021-04-19,17.0421065908063,2021,16,0,51.842504449651,"2"
2021-04-26,23.4569740387421,2021,17,0,62.0760817612885,"2"
2021-05-03,22.9451634888639,2021,18,0,55.1480671600077,"2"
2021-05-10,26.4034877592531,2021,19,0,64.7696747248529,"2"
2021-05-17,24.1229232552402,2021,20,0,58.7893746124689,"2"
2021-05-24,27.6796577644539,2021,21,0,65.5115918117578,"2"
