"day_cut","sentiment","year","day","app"
2019-08-12,-0.11,2019,12,"1"
2019-08-22,0.1,2019,22,"1"
2019-08-23,0.3,2019,23,"1"
2019-08-27,0.1,2019,27,"1"
2019-08-28,0,2019,28,"1"
2019-08-29,0.35,2019,29,"1"
2019-08-31,0.79,2019,31,"1"
2019-09-03,0.13,2019,3,"1"
2019-09-19,0.19,2019,19,"1"
2019-09-22,0.11,2019,22,"1"
2019-09-23,-0.17,2019,23,"1"
2019-09-24,0.21,2019,24,"1"
2019-09-30,0.43,2019,30,"1"
2019-10-02,-0.01,2019,2,"1"
2019-10-16,0.24,2019,16,"1"
2019-10-17,0.08,2019,17,"1"
2019-10-18,0.2,2019,18,"1"
2019-10-19,0.29,2019,19,"1"
2019-10-24,0.68,2019,24,"1"
2019-10-28,0.78,2019,28,"1"
2019-11-04,0.28,2019,4,"1"
2019-11-19,-0.51,2019,19,"1"
2019-11-21,0.59,2019,21,"1"
2019-11-22,0.31,2019,22,"1"
2019-12-01,0.43,2019,1,"1"
2019-12-05,-0.25,2019,5,"1"
2019-12-23,-0.14,2019,23,"1"
2019-12-24,0.75,2019,24,"1"
2019-12-30,0.5,2019,30,"1"
2020-01-04,-0.12,2020,4,"1"
2020-01-12,0.43,2020,12,"1"
2020-01-15,1,2020,15,"1"
2020-02-05,0.29,2020,5,"1"
2020-02-06,0.75,2020,6,"1"
2020-02-07,-0.18,2020,7,"1"
2020-02-08,0.29,2020,8,"1"
2020-02-14,0.11,2020,14,"1"
2020-02-18,0.46,2020,18,"1"
2020-02-21,0.07,2020,21,"1"
2020-02-27,0.05,2020,27,"1"
2020-03-10,0.67,2020,10,"1"
2020-03-12,-0.25,2020,12,"1"
2020-03-21,1,2020,21,"1"
2020-04-18,0.06,2020,18,"1"
2020-04-25,-0.18,2020,25,"1"
2020-04-26,1,2020,26,"1"
2020-05-06,0.34,2020,6,"1"
2020-05-07,0,2020,7,"1"
2020-05-08,-0.12,2020,8,"1"
