"month_cut","sentiment","year","month","app"
2017-01-01,0.36,2017,1,"5"
2017-02-01,0.33,2017,2,"5"
2017-03-01,0.34,2017,3,"5"
2017-04-01,0.32,2017,4,"5"
2017-05-01,0.31,2017,5,"5"
2017-06-01,0.31,2017,6,"5"
2017-07-01,0.34,2017,7,"5"
2017-08-01,0.35,2017,8,"5"
2017-09-01,0.35,2017,9,"5"
2017-10-01,0.36,2017,10,"5"
2017-11-01,0.3,2017,11,"5"
2017-12-01,0.33,2017,12,"5"
2018-01-01,0.32,2018,1,"5"
2018-02-01,0.31,2018,2,"5"
2018-03-01,0.32,2018,3,"5"
2018-04-01,0.33,2018,4,"5"
2018-05-01,0.33,2018,5,"5"
2018-06-01,0.32,2018,6,"5"
2018-07-01,0.33,2018,7,"5"
2018-08-01,0.31,2018,8,"5"
2018-09-01,0.33,2018,9,"5"
2018-10-01,0.31,2018,10,"5"
2018-11-01,0.33,2018,11,"5"
2018-12-01,0.31,2018,12,"5"
2019-01-01,0.32,2019,1,"5"
2019-02-01,0.38,2019,2,"5"
2019-03-01,0.4,2019,3,"5"
2019-04-01,0.36,2019,4,"5"
2019-05-01,0.4,2019,5,"5"
2019-06-01,0.38,2019,6,"5"
2019-07-01,0.36,2019,7,"5"
2019-08-01,0.39,2019,8,"5"
2019-09-01,0.37,2019,9,"5"
2019-10-01,0.37,2019,10,"5"
2019-11-01,0.31,2019,11,"5"
2019-12-01,0.35,2019,12,"5"
2020-01-01,0.34,2020,1,"5"
2020-02-01,0.32,2020,2,"5"
2020-03-01,0.31,2020,3,"5"
2020-04-01,0.3,2020,4,"5"
2020-05-01,0.28,2020,5,"5"
2020-06-01,0.3,2020,6,"5"
2016-06-01,0.4,2016,6,"6"
2016-07-01,0.38,2016,7,"6"
2016-08-01,0.33,2016,8,"6"
2016-09-01,0.4,2016,9,"6"
2016-10-01,0.39,2016,10,"6"
2016-11-01,0.36,2016,11,"6"
2016-12-01,0.41,2016,12,"6"
2017-01-01,0.38,2017,1,"6"
2017-02-01,0.36,2017,2,"6"
2017-03-01,0.34,2017,3,"6"
2017-04-01,0.35,2017,4,"6"
2017-05-01,0.33,2017,5,"6"
2017-06-01,0.3,2017,6,"6"
2017-07-01,0.35,2017,7,"6"
2017-08-01,0.34,2017,8,"6"
2017-09-01,0.35,2017,9,"6"
2017-10-01,0.34,2017,10,"6"
2017-11-01,0.36,2017,11,"6"
2017-12-01,0.31,2017,12,"6"
2018-01-01,0.37,2018,1,"6"
2018-02-01,0.32,2018,2,"6"
2018-03-01,0.35,2018,3,"6"
2018-04-01,0.33,2018,4,"6"
2018-05-01,0.34,2018,5,"6"
2018-06-01,0.34,2018,6,"6"
2018-07-01,0.35,2018,7,"6"
2018-08-01,0.29,2018,8,"6"
2018-09-01,0.3,2018,9,"6"
2018-10-01,0.36,2018,10,"6"
2018-11-01,0.37,2018,11,"6"
2018-12-01,0.34,2018,12,"6"
2019-01-01,0.34,2019,1,"6"
2019-02-01,0.41,2019,2,"6"
2019-03-01,0.41,2019,3,"6"
2019-04-01,0.41,2019,4,"6"
2019-05-01,0.4,2019,5,"6"
2019-06-01,0.4,2019,6,"6"
2019-07-01,0.32,2019,7,"6"
2019-08-01,0.38,2019,8,"6"
2019-09-01,0.36,2019,9,"6"
2019-10-01,0.38,2019,10,"6"
2019-11-01,0.39,2019,11,"6"
2019-12-01,0.35,2019,12,"6"
2020-01-01,0.37,2020,1,"6"
2020-02-01,0.32,2020,2,"6"
2020-03-01,0.34,2020,3,"6"
2020-04-01,0.38,2020,4,"6"
2020-05-01,0.35,2020,5,"6"
2020-06-01,0.33,2020,6,"6"
2018-09-01,0.14,2018,9,"7"
2018-10-01,0.14,2018,10,"7"
2018-11-01,0.12,2018,11,"7"
2018-12-01,0.12,2018,12,"7"
2019-01-01,0.11,2019,1,"7"
2019-02-01,0.14,2019,2,"7"
2019-03-01,0.11,2019,3,"7"
2019-04-01,0.15,2019,4,"7"
2019-05-01,0.15,2019,5,"7"
2019-06-01,0.1,2019,6,"7"
2019-07-01,0.11,2019,7,"7"
2019-08-01,0.15,2019,8,"7"
2019-09-01,0.12,2019,9,"7"
2019-10-01,0.13,2019,10,"7"
2019-11-01,0.1,2019,11,"7"
2019-12-01,0.11,2019,12,"7"
2020-01-01,0.16,2020,1,"7"
2020-02-01,0.14,2020,2,"7"
2020-03-01,0.18,2020,3,"7"
2020-04-01,0.18,2020,4,"7"
2020-05-01,0.16,2020,5,"7"
2020-06-01,0.15,2020,6,"7"
2016-06-01,0.27,2016,6,"8"
2016-07-01,0.29,2016,7,"8"
2016-08-01,0.26,2016,8,"8"
2016-09-01,0.29,2016,9,"8"
2016-10-01,0.32,2016,10,"8"
2016-11-01,0.3,2016,11,"8"
2016-12-01,0.33,2016,12,"8"
2017-01-01,0.32,2017,1,"8"
2017-02-01,0.28,2017,2,"8"
2017-03-01,0.32,2017,3,"8"
2017-04-01,0.32,2017,4,"8"
2017-05-01,0.33,2017,5,"8"
2017-06-01,0.29,2017,6,"8"
2017-07-01,0.26,2017,7,"8"
2017-08-01,0.26,2017,8,"8"
2017-09-01,0.27,2017,9,"8"
2017-10-01,0.26,2017,10,"8"
2017-11-01,0.27,2017,11,"8"
2017-12-01,0.25,2017,12,"8"
2018-01-01,0.29,2018,1,"8"
2018-02-01,0.23,2018,2,"8"
2018-03-01,0.25,2018,3,"8"
2018-04-01,0.25,2018,4,"8"
2018-05-01,0.23,2018,5,"8"
2018-06-01,0.23,2018,6,"8"
2018-07-01,0.21,2018,7,"8"
2018-08-01,0.24,2018,8,"8"
2018-09-01,0.21,2018,9,"8"
2018-10-01,0.24,2018,10,"8"
2018-11-01,0.26,2018,11,"8"
2018-12-01,0.25,2018,12,"8"
2019-01-01,0.18,2019,1,"8"
2019-02-01,0.33,2019,2,"8"
2019-03-01,0.26,2019,3,"8"
2019-04-01,0.2,2019,4,"8"
2019-05-01,0.25,2019,5,"8"
2019-06-01,0.26,2019,6,"8"
2019-07-01,0.26,2019,7,"8"
2019-08-01,0.24,2019,8,"8"
2019-09-01,0.26,2019,9,"8"
2019-10-01,0.26,2019,10,"8"
2019-11-01,0.33,2019,11,"8"
2019-12-01,0.25,2019,12,"8"
2020-01-01,0.17,2020,1,"8"
2020-02-01,0.19,2020,2,"8"
2020-03-01,0.15,2020,3,"8"
2020-04-01,0.28,2020,4,"8"
2020-05-01,0.22,2020,5,"8"
2020-06-01,0.2,2020,6,"8"
