"month_cut","Count","year","month","app"
2018-10-01,1118,2018,10,"6"
2018-11-01,919,2018,11,"6"
2018-12-01,870,2018,12,"6"
2019-01-01,525,2019,1,"6"
2019-02-01,852,2019,2,"6"
2019-03-01,1061,2019,3,"6"
2019-04-01,832,2019,4,"6"
2019-05-01,898,2019,5,"6"
2019-06-01,771,2019,6,"6"
2019-07-01,736,2019,7,"6"
2019-08-01,699,2019,8,"6"
2019-09-01,703,2019,9,"6"
2019-10-01,779,2019,10,"6"
2019-11-01,547,2019,11,"6"
2019-12-01,411,2019,12,"6"
2020-01-01,530,2020,1,"6"
2020-02-01,297,2020,2,"6"
2020-03-01,447,2020,3,"6"
2020-04-01,310,2020,4,"6"
2020-05-01,318,2020,5,"6"
2020-06-01,199,2020,6,"6"
2018-09-01,821,2018,9,"7"
2018-10-01,1642,2018,10,"7"
2018-11-01,1606,2018,11,"7"
2018-12-01,1341,2018,12,"7"
2019-01-01,1022,2019,1,"7"
2019-02-01,1165,2019,2,"7"
2019-03-01,1428,2019,3,"7"
2019-04-01,1518,2019,4,"7"
2019-05-01,1497,2019,5,"7"
2019-06-01,2117,2019,6,"7"
2019-07-01,2004,2019,7,"7"
2019-08-01,1641,2019,8,"7"
2019-09-01,1724,2019,9,"7"
2019-10-01,1506,2019,10,"7"
2019-11-01,1749,2019,11,"7"
2019-12-01,1525,2019,12,"7"
2020-01-01,1305,2020,1,"7"
2020-02-01,1278,2020,2,"7"
2020-03-01,1084,2020,3,"7"
2020-04-01,705,2020,4,"7"
2020-05-01,1090,2020,5,"7"
2020-06-01,618,2020,6,"7"
2016-06-01,712,2016,6,"8"
2016-07-01,1362,2016,7,"8"
2016-08-01,1113,2016,8,"8"
2016-09-01,995,2016,9,"8"
2016-10-01,874,2016,10,"8"
2016-11-01,637,2016,11,"8"
2016-12-01,760,2016,12,"8"
2017-01-01,1301,2017,1,"8"
2017-02-01,762,2017,2,"8"
2017-03-01,973,2017,3,"8"
2017-04-01,988,2017,4,"8"
2017-05-01,898,2017,5,"8"
2017-06-01,646,2017,6,"8"
2017-07-01,473,2017,7,"8"
2017-08-01,533,2017,8,"8"
2017-09-01,515,2017,9,"8"
2017-10-01,383,2017,10,"8"
2017-11-01,365,2017,11,"8"
2017-12-01,310,2017,12,"8"
2018-01-01,307,2018,1,"8"
2018-02-01,283,2018,2,"8"
2018-03-01,253,2018,3,"8"
2018-04-01,257,2018,4,"8"
2018-05-01,314,2018,5,"8"
2018-06-01,244,2018,6,"8"
2018-07-01,223,2018,7,"8"
2018-08-01,298,2018,8,"8"
2018-09-01,304,2018,9,"8"
2018-10-01,280,2018,10,"8"
2018-11-01,234,2018,11,"8"
2018-12-01,198,2018,12,"8"
2019-01-01,205,2019,1,"8"
2019-02-01,296,2019,2,"8"
2019-03-01,289,2019,3,"8"
2019-04-01,237,2019,4,"8"
2019-05-01,222,2019,5,"8"
2019-06-01,294,2019,6,"8"
2019-07-01,234,2019,7,"8"
2019-08-01,288,2019,8,"8"
2019-09-01,248,2019,9,"8"
2019-10-01,264,2019,10,"8"
2019-11-01,197,2019,11,"8"
2019-12-01,182,2019,12,"8"
2020-01-01,144,2020,1,"8"
2020-02-01,119,2020,2,"8"
2020-03-01,174,2020,3,"8"
2020-04-01,143,2020,4,"8"
2020-05-01,145,2020,5,"8"
2020-06-01,91,2020,6,"8"
