"week","stars","app"
50,4.39236630856497,"6"
51,4.49076593684484,"6"
52,4.52490965427403,"6"
53,4.42368927125506,"6"
1,3.35730736931881,"7"
2,3.52947440530495,"7"
3,3.37603060977646,"7"
4,3.30075211183102,"7"
5,3.37351031893553,"7"
6,3.51851761227539,"7"
7,3.46223497896984,"7"
8,3.42406743890577,"7"
9,3.45598526722578,"7"
10,3.49793512023781,"7"
11,3.31177762403575,"7"
12,3.61830176224385,"7"
13,3.72858223765347,"7"
14,3.71884744402896,"7"
15,3.75037754611352,"7"
16,3.69477984517118,"7"
17,3.49734449672782,"7"
18,3.55600111190874,"7"
19,3.56190049104362,"7"
20,3.3699101918193,"7"
21,3.61561438804924,"7"
22,3.49141324266193,"7"
23,3.35528013869127,"7"
24,3.3736230827818,"7"
25,3.26766743067994,"7"
26,3.00065594856117,"7"
27,2.99147786067761,"7"
28,3.15694668858953,"7"
29,3.36365699150474,"7"
30,3.45171398321413,"7"
31,3.43281870394226,"7"
32,3.47971280038192,"7"
33,3.43995328047999,"7"
34,3.56562068785524,"7"
35,3.30443376068376,"7"
36,3.25339999344133,"7"
37,3.34124347520994,"7"
38,3.44837872737719,"7"
39,3.58224822207289,"7"
40,3.47047863669529,"7"
41,3.51953022193286,"7"
42,3.39063682654683,"7"
43,3.45274243083524,"7"
44,3.38962444634693,"7"
45,3.05164741491049,"7"
46,3.06093917672441,"7"
47,3.42835793615896,"7"
48,3.28829338904891,"7"
49,3.34263700373695,"7"
50,3.39325895020461,"7"
51,3.34809867011373,"7"
52,3.28173216573026,"7"
53,3.29450757575758,"7"
1,3.99101110529682,"8"
2,3.87319051003057,"8"
3,3.80673616311834,"8"
4,3.92984742917324,"8"
5,3.92105925878923,"8"
6,4.18417314684777,"8"
7,3.93099816849817,"8"
8,3.88197655953566,"8"
9,3.87932798993723,"8"
10,3.94272542933257,"8"
11,3.86612356695837,"8"
12,3.94751391086079,"8"
13,4.06058968855975,"8"
14,3.9446262191513,"8"
15,3.7986994156637,"8"
16,3.98416097619789,"8"
17,3.93437920246851,"8"
18,3.9296687629168,"8"
19,4.03786910414215,"8"
20,4.16395655915385,"8"
21,3.99919978606903,"8"
22,4.18320660533018,"8"
23,3.87988617941349,"8"
24,3.9416799608751,"8"
25,4.02762439548794,"8"
26,4.09211569929819,"8"
27,3.98945292978354,"8"
28,3.9632978934782,"8"
29,4.12640758146724,"8"
30,3.89515643482558,"8"
31,3.94891174369566,"8"
32,3.85162727935989,"8"
33,4.0551095827995,"8"
34,4.12938263760242,"8"
35,3.87736478619401,"8"
36,4.04037506278328,"8"
37,3.90559975591534,"8"
38,3.93397562582345,"8"
39,4.08942531569691,"8"
40,4.03099363703308,"8"
41,3.97507929051019,"8"
42,3.9329217915957,"8"
43,3.9669786010963,"8"
44,3.98426097299458,"8"
45,3.98981022478922,"8"
46,3.88778333749574,"8"
47,4.0824878916429,"8"
48,4.02390847753243,"8"
49,4.0727173134211,"8"
50,3.87127963458368,"8"
51,4.00624454910169,"8"
52,3.86799628251122,"8"
53,4.11468253968254,"8"
