"week_cut","stars","year","week","app"
2017-09-11,3.66666666666667,2017,37,"3"
2017-09-18,4.33888888888889,2017,38,"3"
2017-09-25,3.47619047619048,2017,39,"3"
2017-10-02,3,2017,40,"3"
2017-10-09,3.98611111111111,2017,41,"3"
2017-10-16,4.41666666666667,2017,42,"3"
2017-10-23,3.86666666666667,2017,43,"3"
2017-10-30,4.27619047619048,2017,44,"3"
2017-11-06,4.45,2017,45,"3"
2017-11-13,3.17142857142857,2017,46,"3"
2017-11-20,3.88,2017,47,"3"
2017-11-27,3.625,2017,48,"3"
2017-12-04,4.26666666666667,2017,49,"3"
2017-12-11,4.1,2017,50,"3"
2017-12-18,3.83333333333333,2017,51,"3"
2017-12-25,2.375,2017,52,"3"
2018-01-01,4.21904761904762,2018,1,"3"
2018-01-08,4.03055555555556,2018,2,"3"
2018-01-15,2.4375,2018,3,"3"
2018-01-22,3.22222222222222,2018,4,"3"
2018-01-29,3.6,2018,5,"3"
2018-02-05,3.83333333333333,2018,6,"3"
2018-02-12,3.38095238095238,2018,7,"3"
2018-02-19,4.5,2018,8,"3"
2018-02-26,4.22222222222222,2018,9,"3"
2018-03-05,3.13888888888889,2018,10,"3"
2018-03-12,3.33333333333333,2018,11,"3"
2018-03-19,3.86666666666667,2018,12,"3"
2018-03-26,2.63888888888889,2018,13,"3"
2018-04-02,3.05333333333333,2018,14,"3"
2018-04-09,3.4047619047619,2018,15,"3"
2018-04-16,3.8,2018,16,"3"
2018-04-23,3.29166666666667,2018,17,"3"
2018-04-30,3.30555555555556,2018,18,"3"
2018-05-07,3.8,2018,19,"3"
2018-05-14,2.75,2018,20,"3"
2018-05-21,3.8125,2018,21,"3"
2018-05-28,2.77777777777778,2018,22,"3"
2018-06-04,3.51388888888889,2018,23,"3"
2018-06-11,3.44444444444444,2018,24,"3"
2018-06-18,3.66666666666667,2018,25,"3"
2018-06-25,3.58333333333333,2018,26,"3"
2018-07-02,4.53333333333333,2018,27,"3"
2018-07-09,3.62857142857143,2018,28,"3"
2018-07-16,3.52777777777778,2018,29,"3"
2018-07-23,4.23611111111111,2018,30,"3"
2018-07-30,4.35714285714286,2018,31,"3"
2018-08-06,3.41904761904762,2018,32,"3"
2018-08-13,3.15277777777778,2018,33,"3"
2018-08-20,3.91666666666667,2018,34,"3"
2018-08-27,3.33333333333333,2018,35,"3"
2018-09-03,4.5,2018,36,"3"
2018-09-10,3.75,2018,37,"3"
2018-09-17,2.22222222222222,2018,38,"3"
2018-09-24,1.78333333333333,2018,39,"3"
2018-10-01,2.95833333333333,2018,40,"3"
2018-10-08,4.26388888888889,2018,41,"3"
2018-10-15,4.33333333333333,2018,42,"3"
2018-10-22,4.125,2018,43,"3"
2018-10-29,3.1,2018,44,"3"
2018-11-05,4.62,2018,45,"3"
2018-11-12,3.96666666666667,2018,46,"3"
2018-11-19,4.7,2018,47,"3"
2018-11-26,3.1,2018,48,"3"
2018-12-03,2.875,2018,49,"3"
2018-12-10,3.83333333333333,2018,50,"3"
2018-12-17,4.02857142857143,2018,51,"3"
2018-12-24,4.3,2018,52,"3"
2018-12-31,4.36111111111111,2018,53,"3"
2019-01-07,3.52380952380952,2019,1,"3"
2019-01-14,3.25,2019,2,"3"
2019-01-21,3.7,2019,3,"3"
2019-01-28,3.05555555555556,2019,4,"3"
2019-02-04,3.61883116883117,2019,5,"3"
2019-02-11,3.05097402597403,2019,6,"3"
2019-02-18,3.37295918367347,2019,7,"3"
2019-02-25,3.04353741496599,2019,8,"3"
2019-03-04,3.2734126984127,2019,9,"3"
2019-03-11,3.31547619047619,2019,10,"3"
2019-03-18,3.01190476190476,2019,11,"3"
2019-03-25,3.18809523809524,2019,12,"3"
2019-04-01,2.87414965986395,2019,13,"3"
2019-04-08,3.42517006802721,2019,14,"3"
2019-04-15,3.56666666666667,2019,15,"3"
2019-04-22,4.39761904761905,2019,16,"3"
2019-04-29,2.64444444444444,2019,17,"3"
2019-05-06,3.39444444444444,2019,18,"3"
2019-05-13,3.75068027210884,2019,19,"3"
2019-05-20,3.19444444444444,2019,20,"3"
2019-05-27,3.4156462585034,2019,21,"3"
2019-06-03,3.18333333333333,2019,22,"3"
2019-06-10,2.26984126984127,2019,23,"3"
2019-06-17,2.77800453514739,2019,24,"3"
2019-06-24,2.89444444444444,2019,25,"3"
2019-07-01,2.80952380952381,2019,26,"3"
2019-07-08,3.57448979591837,2019,27,"3"
