"week_cut","sentiment","year","week","app"
2017-01-23,0.08,2017,4,"4"
2017-01-30,0.42,2017,5,"4"
2017-02-06,0.05,2017,6,"4"
2017-02-13,-0.32,2017,7,"4"
2017-02-20,0.01,2017,8,"4"
2017-02-27,0.03,2017,9,"4"
2017-03-06,0.2,2017,10,"4"
2017-03-13,0.57,2017,11,"4"
2017-03-20,0.26,2017,12,"4"
2017-03-27,-0.03,2017,13,"4"
2017-04-03,-0.11,2017,14,"4"
2017-04-10,0.17,2017,15,"4"
2017-04-17,0.21,2017,16,"4"
2017-04-24,0.29,2017,17,"4"
2017-05-01,0.17,2017,18,"4"
2017-05-08,0.15,2017,19,"4"
2017-05-15,0.24,2017,20,"4"
2017-05-22,0.15,2017,21,"4"
2017-05-29,-0.06,2017,22,"4"
2017-06-05,0.01,2017,23,"4"
2017-06-12,0.01,2017,24,"4"
2017-06-19,0.01,2017,25,"4"
2017-06-26,0.07,2017,26,"4"
2017-07-03,0.01,2017,27,"4"
2017-07-10,-0.09,2017,28,"4"
2017-07-17,0.19,2017,29,"4"
2017-07-24,0.05,2017,30,"4"
2017-07-31,-0.04,2017,31,"4"
2017-08-07,0.11,2017,32,"4"
2017-08-14,-0.07,2017,33,"4"
2017-08-21,-0.14,2017,34,"4"
2017-08-28,0,2017,35,"4"
2017-09-04,-0.07,2017,36,"4"
2017-09-11,-0.01,2017,37,"4"
2017-09-18,0.1,2017,38,"4"
2017-09-25,0.15,2017,39,"4"
2017-10-02,0.08,2017,40,"4"
2017-10-09,-0.13,2017,41,"4"
2017-10-16,0,2017,42,"4"
2017-10-23,-0.1,2017,43,"4"
2017-10-30,0.05,2017,44,"4"
2017-11-06,-0.02,2017,45,"4"
2017-11-13,0.13,2017,46,"4"
2017-11-20,-0.18,2017,47,"4"
2017-11-27,0.2,2017,48,"4"
2017-12-04,0.07,2017,49,"4"
2017-12-11,-0.18,2017,50,"4"
2017-12-18,0.46,2017,51,"4"
2017-12-25,0.01,2017,52,"4"
2018-01-01,-0.07,2018,1,"4"
2018-01-08,-0.21,2018,2,"4"
2018-01-15,0.19,2018,3,"4"
2018-01-22,0.04,2018,4,"4"
2018-01-29,0.02,2018,5,"4"
2018-02-05,0.39,2018,6,"4"
2018-02-12,0.57,2018,7,"4"
2018-02-19,0.19,2018,8,"4"
2018-02-26,0.35,2018,9,"4"
2018-03-05,0.04,2018,10,"4"
2018-03-12,0,2018,11,"4"
2018-03-19,-0.08,2018,12,"4"
2018-03-26,-0.01,2018,13,"4"
2018-04-02,-0.04,2018,14,"4"
2018-04-09,0.2,2018,15,"4"
2018-04-16,0.12,2018,16,"4"
2018-04-23,0.15,2018,17,"4"
2018-04-30,-0.53,2018,18,"4"
2018-05-07,0.3,2018,19,"4"
2018-05-14,0.06,2018,20,"4"
2018-05-21,0.06,2018,21,"4"
